ID,Nombre,Departamento,Municipio
10121,CENTRO ESCOLAR LEOPOLDO MAYEN TORRES,AHUACHAPAN,JUJUTLA
10122,CENTRO ESCOLAR CANTON SAN ANTONIO,AHUACHAPAN,JUJUTLA
10123,CENTRO ESCOLAR URBANIZACIÓN SANTA TERESA DE LAS FLORES,SAN SALVADOR,APOPA
10124,CENTRO ESCOLAR PROFESOR JORGE ALFREDO MENDOZA,SONSONATE,SONSONATE
10125,COMPLEJO EDUCATIVO CANTON EL ZAPOTE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10126,CENTRO ESCOLAR PARA SORDOS DE COJUTEPEQUE,CUSCATLÁN,COJUTEPEQUE
10127,CENTRO ESCOLAR HACIENDA NUEVA YORK,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10128,ESCUELA DE EDUCACION PARVULARIA PRUDENCIA AYALA,LA LIBERTAD,TALNIQUE
10129,CENTRO ESCOLAR CASERIO SANTA ELENA,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10130,CENTRO ESCOLAR HACIENDA CHANMICO,LA LIBERTAD,SAN JUAN OPICO
10131,COMPLEJO EDUCATIVO CASERÍO EL CASTAÑO,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10132,"CENTRO ESCOLAR COLONIA NUEVA ESPERANZA, CANTON CARA SUCIA",AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10133,CENTRO ESCOLAR ANA CORALIA RAUDA DE CARDENAS,USULUTÁN,VILLA EL TRIUNFO
10134,COMPLEJO EDUCATIVO CANTÓN LA HACHADURA,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10136,CENTRO ESCOLAR HACIENDA EL AMATAL,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10137,INSTITUTO NACIONAL DE SAN MIGUEL TEPEZONTES,LA PAZ,SAN MIGUEL TEPEZONTES
10138,CENTRO ESCOLAR CANTON CARA SUCIA,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10139,COMPLEJO EDUCATIVO GARITA PALMERA,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10140,ESCUELA DE EDUCACION PARVULARIA ASOCIACION DE SEÑORAS DE MEDICOS,SAN SALVADOR,CIUDAD DELGADO
10141,"CENTRO ESCOLAR CASERIO PUENTE ARCE, CANTON EL JOCOTILLO",AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10142,CENTRO ESCOLAR HACIENDA BOLA DE MONTE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10143,"CENTRO ESCOLAR CASERIO MENDEZ, CANTON LA CEIBA",AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10144,CENTRO ESCOLAR DIVINO NIÑO,LA LIBERTAD,SANTA TECLA
10145,CENTRO ESCOLAR CASERIO TALPETATE,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
